Date : 2024-03-04 23:29:16
Directory : /home/eden/ProjectRepo/my_ros
Total : 76 files,  1479 codes, 187 comments, 246 blanks, all 1912 lines

Languages
+----------------------+------------+------------+------------+------------+------------+
| language             | files      | code       | comment    | blank      | total      |
| /home/eden/ProjectRepo/my_ros/tests/should_panic.rs                                              | Rust                 |         29 |          0 |          6 |         35 |
| /home/eden/ProjectRepo/my_ros/tests/stack_overflow.rs                                            | Rust                 |         52 |          3 |         12 |         67 |
| /home/eden/ProjectsRepo/my_ros/.cargo/config.toml                                                | TOML                 |         -7 |          0 |         -3 |        -10 |
| /home/eden/ProjectsRepo/my_ros/Cargo.lock                                                        | TOML                 |       -253 |         -2 |        -36 |       -291 |
| /home/eden/ProjectsRepo/my_ros/Cargo.toml                                                        | TOML                 |        -45 |          0 |         -9 |        -54 |
| /home/eden/ProjectsRepo/my_ros/README.md                                                         | source.markdown.math |         -6 |          0 |         -5 |        -11 |
| /home/eden/ProjectsRepo/my_ros/rustfmt.toml                                                      | TOML                 |         -1 |          0 |         -1 |         -2 |
| /home/eden/ProjectsRepo/my_ros/src/allocator.rs                                                  | Rust                 |        -90 |        -12 |        -19 |       -121 |
| /home/eden/ProjectsRepo/my_ros/src/allocator/bump.rs                                             | Rust                 |        -48 |        -21 |         -9 |        -78 |
| /home/eden/ProjectsRepo/my_ros/src/allocator/fixed_size_block.rs                                 | Rust                 |        -72 |        -20 |        -10 |       -102 |
| /home/eden/ProjectsRepo/my_ros/src/allocator/linked_list.rs                                      | Rust                 |       -105 |        -44 |        -20 |       -169 |
| /home/eden/ProjectsRepo/my_ros/src/demo/concurrency.rs                                           | Rust                 |        -38 |          0 |         -3 |        -41 |
| /home/eden/ProjectsRepo/my_ros/src/demo/cpu_exceptions.rs                                        | Rust                 |         -4 |          0 |         -1 |         -5 |
| /home/eden/ProjectsRepo/my_ros/src/demo/double_fault.rs                                          | Rust                 |         -6 |          0 |         -1 |         -7 |
| /home/eden/ProjectsRepo/my_ros/src/demo/heap_allocation.rs                                       | Rust                 |        -22 |          0 |         -8 |        -30 |
| /home/eden/ProjectsRepo/my_ros/src/demo/memory.rs                                                | Rust                 |        -36 |         -6 |         -6 |        -48 |
| /home/eden/ProjectsRepo/my_ros/src/demo/mod.rs                                                   | Rust                 |        -16 |          0 |         -4 |        -20 |
| /home/eden/ProjectsRepo/my_ros/src/demo/println_eprintln.rs                                      | Rust                 |         -8 |          0 |         -2 |        -10 |
| /home/eden/ProjectsRepo/my_ros/src/exit.rs                                                       | Rust                 |        -13 |          0 |         -2 |        -15 |
| /home/eden/ProjectsRepo/my_ros/src/gdt.rs                                                        | Rust                 |        -45 |          0 |         -7 |        -52 |
